,,CZTS,,,,,,,,,,,
Photon Energy (eV),Wavelength (nm) - Plot 0,Voltage (V) - Plot 0,Normalised PL,,,,,,,,,,
1.173120406,1057.01,0.001442,0.273127753,,,,,,,,,,
1.172033762,1057.99,0.001425,0.198237885,,,,,,,,,,
1.170904902,1059.01,0.001412,0.140969163,,,,,,,,,,
1.169822357,1059.99,0.001402,0.0969163,,,,,,,,,,
1.168708765,1061,0.001394,0.061674009,,,,,,,,,,
1.167597292,1062.01,0.001406,0.114537445,,,,,,,,,,
1.166520852,1062.99,0.001435,0.242290749,,,,,,,,,,
1.165424487,1063.99,0.001414,0.149779736,,,,,,,,,,
1.164319249,1065,0.001401,0.092511013,,,,,,,,,,
1.163216105,1066.01,0.001427,0.207048458,,,,,,,,,,
1.162147724,1066.99,0.001419,0.171806167,,,,,,,,,,
1.16105956,1067.99,0.001427,0.207048458,,,,,,,,,,
1.159962582,1069,0.001422,0.185022026,,,,,,,,,,
1.158878505,1070,0.001423,0.189427313,,,,,,,,,,
1.157785642,1071.01,0.001429,0.215859031,,,,,,,,,,
1.156705628,1072.01,0.00141,0.13215859,,,,,,,,,,
1.155627627,1073.01,0.001405,0.110132159,,,,,,,,,,
1.154551634,1074.01,0.001427,0.207048458,,,,,,,,,,
1.153466912,1075.02,0.001415,0.154185022,,,,,,,,,,
1.152427067,1075.99,0.001394,0.061674009,,,,,,,,,,
1.151357023,1076.99,0.001442,0.273127753,,,,,,,,,,
1.150267623,1078.01,0.001401,0.092511013,,,,,,,,,,
1.149201583,1079.01,0.001432,0.22907489,,,,,,,,,,
1.148137517,1080.01,0.001429,0.215859031,,,,,,,,,,
1.14707542,1081.01,0.001427,0.207048458,,,,,,,,,,
1.146025878,1082,0.001418,0.167400881,,,,,,,,,,
1.144967682,1083,0.001402,0.0969163,,,,,,,,,,
1.143921992,1083.99,0.001387,0.030837004,,,,,,,,,,
1.142867676,1084.99,0.0014,0.088105727,,,,,,,,,,
1.141794274,1086.01,0.001438,0.255506608,,,,,,,,,,
1.140743875,1087.01,0.001419,0.171806167,,,,,,,,,,
1.139705882,1088,0.001432,0.22907489,,,,,,,,,,
1.138669777,1088.99,0.001385,0.022026432,,,,,,,,,,
1.137604242,1090.01,0.001425,0.198237885,,,,,,,,,,
1.136571952,1091,0.001427,0.207048458,,,,,,,,,,
1.135541534,1091.99,0.001432,0.22907489,,,,,,,,,,
1.134481844,1093.01,0.001404,0.105726872,,,,,,,,,,
1.133465571,1093.99,0.00141,0.13215859,,,,,,,,,,
1.13240975,1095.01,0.001417,0.162995595,,,,,,,,,,
1.131386861,1096,0.001418,0.167400881,,,,,,,,,,
1.130345211,1097.01,0.001415,0.154185022,,,,,,,,,,
1.129326047,1098,0.001442,0.273127753,,,,,,,,,,
1.128288187,1099.01,0.001403,0.101321586,,,,,,,,,,
1.127272727,1100,0.001439,0.259911894,,,,,,,,,,
1.126238635,1101.01,0.001404,0.105726872,,,,,,,,,,
1.125237071,1101.99,0.001396,0.070484581,,,,,,,,,,
1.124206709,1103,0.001424,0.193832599,,,,,,,,,,
1.123178232,1104.01,0.001426,0.202643172,,,,,,,,,,
1.122182101,1104.99,0.001435,0.242290749,,,,,,,,,,
1.121157324,1106,0.001419,0.171806167,,,,,,,,,,
1.120134416,1107.01,0.001415,0.154185022,,,,,,,,,,
1.119143675,1107.99,0.001444,0.281938326,,,,,,,,,,
1.118134519,1108.99,0.001434,0.237885463,,,,,,,,,,
1.117117117,1110,0.001422,0.185022026,,,,,,,,,,
1.116101565,1111.01,0.0014,0.088105727,,,,,,,,,,
1.115097886,1112.01,0.00143,0.220264317,,,,,,,,,,
1.11409601,1113.01,0.001434,0.237885463,,,,,,,,,,
1.113115917,1113.99,0.001426,0.202643172,,,,,,,,,,
1.112117597,1114.99,0.001414,0.149779736,,,,,,,,,,
1.111121067,1115.99,0.001429,0.215859031,,,,,,,,,,
1.110126322,1116.99,0.001412,0.140969163,,,,,,,,,,
1.109133355,1117.99,0.00142,0.176211454,,,,,,,,,,
1.108142164,1118.99,0.001406,0.114537445,,,,,,,,,,
1.107152742,1119.99,0.001417,0.162995595,,,,,,,,,,
1.106145351,1121.01,0.001453,0.321585903,,,,,,,,,,
1.105159491,1122.01,0.001446,0.290748899,,,,,,,,,,
1.104175386,1123.01,0.001427,0.207048458,,,,,,,,,,
1.103202847,1124,0.001429,0.215859031,,,,,,,,,,
1.102222222,1125,0.001406,0.114537445,,,,,,,,,,
1.101253119,1125.99,0.001436,0.246696035,,,,,,,,,,
1.100256431,1127.01,0.001415,0.154185022,,,,,,,,,,
1.099281035,1128.01,0.001434,0.237885463,,,,,,,,,,
1.098317095,1129,0.001407,0.118942731,,,,,,,,,,
1.097354844,1129.99,0.00143,0.220264317,,,,,,,,,,
1.096365196,1131.01,0.001418,0.167400881,,,,,,,,,,
1.095416037,1131.99,0.001436,0.246696035,,,,,,,,,,
1.094429881,1133.01,0.001427,0.207048458,,,,,,,,,,
1.093474427,1134,0.001435,0.242290749,,,,,,,,,,
